ANIMAL_NUMBER,SEX,DOSE_CODE,TIME_OF_TESTING,HOME_CAGE_POSTURE,PALPEBRAL_CLOSURE,EASE_OF_REMOVAL,EASE_OF_HANDLING,LACRIMATION,PALPEBRAL_CLOSURE,PILOERECTION,SALIVATION,REARS,URINATION,DEFECATION,CLONIC_CONVULSIONS,TONIC_CONVULSIONS,GAIT_SCORE,MOBILITY_SCORE,AROUSAL,VOCALIZATIONS,APPROACH_RESPONSE,TOUCH_RESPONSE,CLICK_RESPONSE,TAIL_PINCH_RESPONSE,PUPIL_RESPONSE,RIGHTING_REFLEX,FOOT_SPLAY,FORELIMB_GRIP,HINDLIMB_GRIP,BODY_WEIGHT,BODY_TEMPERATURE,AUTONOMIC_SUM,CNS_ACTIVITY_SUM,CNS_EXCITAB_SUM,NEUROMUSC_SUM,SENSORIMOTOR_SUM,PHYSIOLOGICAL_SUM
5,F,0,0,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,2,1,2,1,1,1,1,1,4,1,2,1,1,6,4,9,10,5,3
5,F,0,4,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,7,4,9,7,4,3
5,F,0,24,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,6,4,7,7,5,4
8,F,0,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,3,6,3,7,7,5,5
8,F,0,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,3,1,2,1,1,6,3,8,9,6,3
8,F,0,24,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,1,1,1,2,3,1,1,6,3,8,9,6,3
13,F,0,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,7,6,4,3
13,F,0,4,1,1,2,2,1,1,1,1,3,3,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,3,8,5,10,8,4,5
13,F,0,24,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,7,4,7,10,4,3
22,F,0,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,6,3,7,7,4,4
22,F,0,4,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,3,1,1,1,1,1,2,2,6,3,8,6,8,5
22,F,0,24,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,6,4,7,7,4,3
23,F,0,0,1,1,2,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,8,3,9,8,4,7
23,F,0,4,1,1,2,1,1,1,1,1,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,10,3,8,6,4,5
23,F,0,24,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,3,3,3,1,1,1,1,3,1,9,3,8,6,8,5
24,F,0,0,1,2,3,1,1,1,1,1,3,1,3,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,8,6,8,6,7,3
24,F,0,4,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,7,4,7,9,4,3
24,F,0,24,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,6,3,8,6,4,4
33,F,0,0,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,8,3,8,6,6,3
33,F,0,4,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,6,3,9,7,4,3
33,F,0,24,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,6,3,7,7,4,7
39,F,0,0,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,6,3,9,9,4,3
39,F,0,4,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,8,3,8,6,4,3
39,F,0,24,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,6,3,7,7,5,3
1,F,150,0,1,1,2,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,6,5,9,9,4,6
1,F,150,4,1,1,3,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,3,1,1,3,1,1,1,4,6,3,9,9,6,6
1,F,150,24,3,1,1,1,3,1,3,1,1,1,3,2,1,2,1,2,1,1,1,1,1,3,1,4,2,1,3,1,12,5,8,11,4,7
3,F,150,0,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,8,3,8,7,4,5
3,F,150,4,1,1,2,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,8,3,10,8,4,4
3,F,150,24,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,3,1,1,1,6,4,6,9,6,3
4,F,150,0,1,2,2,3,1,1,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,3,8,7,9,9,4,8
4,F,150,4,1,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,4,1,1,1,1,1,4,2,4,1,8,3,8,10,7,6
4,F,150,24,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,4,1,2,4,3,6,3,10,10,4,8
9,F,150,0,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,2,1,2,1,1,1,1,1,2,4,4,1,1,8,3,8,13,5,3
9,F,150,4,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,3,1,1,3,2,1,2,8,4,7,9,9,4
9,F,150,24,1,1,1,1,1,1,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,8,4,7,8,4,3
15,F,150,0,1,1,2,3,1,1,1,1,1,3,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,4,1,1,8,3,11,9,5,3
15,F,150,4,1,1,2,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,6,3,11,8,4,3
15,F,150,24,1,1,3,3,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,3,6,3,12,7,4,5
20,F,150,0,1,1,2,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,6,5,9,9,4,7
20,F,150,4,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,4,6,3,12,6,4,8
20,F,150,24,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,3,2,1,3,1,6,3,8,9,4,5
27,F,150,0,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,4,1,3,3,6,3,10,9,6,7
27,F,150,4,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,2,2,2,6,4,9,8,4,5
27,F,150,24,1,1,3,1,3,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,4,8,3,10,8,4,6
